status,mod_name,author,purpose,source,version_checked_2026-09-02,download_page,dependencies,planned_settings,compatibility_action,map_or_project_compatibility_notes,installed,tested
YES,Dynamic Field Prices,BigFood2307,Dynamic land market,KingMods / ModHub,1.0.0.0,https://www.kingmods.net/en/fs25/mods/74387/dynamic-field-prices,,Default,NO,No map edit. Optional sanity check of inherited farmland base prices because the mod varies them from the map baseline.,unknown,unknown
YES,RealismAddon: Balers,modelleicher,Baler load / plunger / pressure realism,KingMods / ModHub,1.0.0.1,https://www.kingmods.net/en/fs25/mods/73546/realismaddon-balers,,Use with round-baler campaign,NO,No map edit. Individual mod balers may need their own powerRequirement tuning; that belongs in equipment mods rather than the map.,unknown,unknown
YES,Realistic Cab View,loki_79,First-person leaning / cab visibility,KingMods / ModHub,1.0.0.0,https://www.kingmods.net/en/fs25/mods/58030/realistic-cab-view,,Default,NO,No map edit.,unknown,unknown
YES,British Fill Units,BigMacJ,kg/t display for solids; litres for liquids,KingMods,1.3.0.0,https://www.kingmods.net/en/fs25/mods/78478/british-fill-units,,Use metric mass display; accept UK terminology,YES,Audit massPerLiter for every Specialita custom fillType/product. Bad density values become visibly wrong weights; capacities and per-tonne prices. Keep liquids correctly typed/dense.,unknown,unknown
YES,Wood And Weight Info,mike1000195,Cargo / vehicle / bale / pallet weight HUD,KingMods / ModHub,1.0.0.0,https://www.kingmods.net/en/fs25/mods/79966/wood-and-weight-info,,Metric,YES,Uses fill-unit mass; so it shares the same custom fillType massPerLiter audit as British Fill Units. No other map work expected.,unknown,unknown
YES,Animal Herding Lite (ConGan compatibility fork),Arrow-kb / ConGan98,Physical herding / walking animals,GitHub,latest release,https://github.com/ConGan98/FS25_AnimalHerdingLite/releases,Realistic Livestock RM for this fork,Use the ConGan compatibility fork when pairing with Pasture Grazing System,TEST,No map edit expected. Test goat and water-buffalo visuals/nav around the actual Farm 6 yards; gates and slopes.,unknown,unknown
TEST,Pasture Grazing System,ConGan98,Rotational grazing / barn-pasture movement,GitHub,0.7.1.0,https://github.com/ConGan98/FS25_PastureGrazingSystem/releases,Realistic Livestock RM; Animal Herding Lite,Single-player beta; enable PF soil layer; Herdsman automation,SAVE,No map bridge required. Register barns/pastures in its Map tab. For Specialita campaign setup; choose/preplace suitable pasture areas and safe walk routes; test goats and buffalo before making it mandatory.,unknown,unknown
YES,CoursePlay,Courseplay.devTeam,Fieldwork / vineyard / bale automation,ModHub,8.1.0.3,https://www.farming-simulator.com/mod.php?mod_id=331515,,Use as hired-labour abstraction,TEST,No map edit normally. After crop foliage registration is fixed; test Specialita custom field crops; mint windrow operations; and GRAPEB vineyard work. Only adjust fruit/tool categories if Courseplay cannot identify a job.,unknown,unknown
PROGRESSION,Cold Room Storage,VGL MODDING,Early cold-chain pallet storage,ModHub,1.0.0.0,https://www.farming-simulator.com/mod.php?mod_id=328853&title=fs2025,Fresh / Perishable Products recommended,First serious cold-room upgrade (~€30k),CONFIG,No map edit if used as placeable. Verify Fresh classifies it as Cooled; override per-storage if necessary.,unknown,unknown
PROGRESSION,Pallet Storage / Cold Pallet Storage,FSPT,Cheap small cold pallet storage,ModHub,1.0.0.0,https://www.farming-simulator.com/mod.php?mod_id=354861&title=fs2025,Fresh / Perishable Products recommended,Possible small early cold-chain option,CONFIG,No map edit if used as placeable. Verify Fresh classification; override if necessary.,unknown,unknown
PROGRESSION,Refrigerated Warehouse,GuiLaum,Late large cold-chain warehouse,ModHub,1.0.0.0,https://www.farming-simulator.com/mod.php?mod_id=354348&title=fs2025,Fresh / Perishable Products recommended,Late-game 700-pallet cold-chain upgrade (€120k),CONFIG,No map edit if used as placeable. Verify Fresh classification; override if necessary.,unknown,unknown
DEV ONLY,Easy Development Controls,GtX,Map/crop/save testing,ModHub,1.2.0.0,https://www.farming-simulator.com/mod.php?mod_id=324487&title=fs2025,,Keep enabled while developing; not part of campaign rules,NO,No map edit. Use to smoke-test fruit types; growth; fill types; productions and save setup.,installed,tested
